auto_id,automerk,carroserie,verkoopprijsprijs,kilometerstand,versnellinsbak,leeftijd_auto,type_motor,pk,nieuwstaat,lease_bedrag,airco
4154,Volgswagen,Cabrio,23945.0,12388.0,Handgeschakeld,11.0,Benzine,184.0,Gebruikt,315.8993238561057,True
4155,Volgswagen,Cabrio,49750.0,43950.0,Automatisch,4.0,Benzine,184.0,Gebruikt,577.2599821070428,False
4156,Volgswagen,Cabrio,14950.0,82125.0,Automatisch,14.0,Benzine,184.0,Gebruikt,233.75813092895663,True
4157,Volgswagen,Cabrio,24500.0,103000.0,Automatisch,19.0,Benzine,245.0,Gebruikt,433.1018847061915,True
4158,Volgswagen,Cabrio,34700.0,45739.0,Automatisch,5.0,Benzine,156.0,Gebruikt,440.90338438189366,False
4159,Volgswagen,Cabrio,14950.0,94291.0,Automatisch,22.0,Benzine,218.0,Gebruikt,353.502237713017,True
4160,Volgswagen,Cabrio,49750.0,54762.0,Automatisch,4.0,Benzine,184.0,Gebruikt,577.9750558190218,False
4161,Volgswagen,Cabrio,14950.0,125915.0,Handgeschakeld,14.0,Benzine,184.0,Gebruikt,220.15073033029984,False
4162,Volgswagen,Cabrio,31500.0,86858.0,Automatisch,21.0,Benzine,204.0,Gebruikt,401.165317470168,True
4163,Volgswagen,Cabrio,15950.0,149629.0,Automatisch,15.0,Benzine,231.0,Gebruikt,249.6508312086245,False
4164,Volgswagen,Cabrio,29900.0,22977.0,Automatisch,17.0,Benzine,272.0,Gebruikt,362.3509321618792,True
4165,Volgswagen,Cabrio,18450.0,141567.0,Handgeschakeld,10.0,Benzine,184.0,Gebruikt,323.91270932367206,False
4166,Volgswagen,Cabrio,15945.0,176824.0,Automatisch,12.0,Benzine,184.0,Gebruikt,317.7295668776044,False
4167,Volgswagen,Cabrio,54950.0,47136.0,Automatisch,17.0,Benzine,500.0,Gebruikt,628.201638770181,True
4168,Volgswagen,Cabrio,59945.0,18047.0,Automatisch,1.0,Benzine,156.0,Gebruikt,592.4216686324338,False
4169,Volgswagen,Cabrio,123456.0,2020.0,,63.0,Benzine,179.0,Gebruikt,1230.838060405833,False
4170,Volgswagen,Cabrio,17495.0,245878.0,Automatisch,20.0,Benzine,306.0,Gebruikt,291.14286944460105,False
4171,Volgswagen,Cabrio,39950.0,88268.0,Automatisch,11.0,Benzine,315.0,Gebruikt,430.1421651727243,False
4172,Volgswagen,Cabrio,29950.0,128915.0,Automatisch,11.0,Benzine,306.0,Gebruikt,435.78503714541256,False
4173,Volgswagen,Cabrio,35450.0,67445.0,Automatisch,9.0,Benzine,306.0,Gebruikt,446.0963091909441,True
4174,Volgswagen,Cabrio,34500.0,94000.0,Automatisch,35.0,Benzine,230.0,Oldtimer,423.5980263476048,True
4175,Volgswagen,Cabrio,46950.0,56122.0,Automatisch,4.0,Benzine,184.0,Gebruikt,477.28775875412674,True
4176,Volgswagen,Cabrio,42500.0,116279.0,Automatisch,28.0,Benzine,394.0,Gebruikt,423.59075351404186,False
4177,Volgswagen,Cabrio,62450.0,11933.0,Automatisch,2.0,Benzine,199.0,Gebruikt,675.944095213909,True
